Project name,Total Number of Libraries
aoi,17.0
jgroups,9.0
jhotdraw,8.0
maven,73.0
quilt,0.0
freecol,13.0
mvnforum,48.0
jtopen,12.0
marauroa,6.0
springframework,8.0
struts,40.0
wct,95.0
htmlunit,32.0
tomcat,3.0
fitlibraryforfitnesse,10.0
argouml,43.0
jspwiki,41.0
ant,3.0
proguard,2.0
eclipse_SDK,73.0
hibernate,17.0
webmail,12.0
informa,18.0
nekohtml,9.0
weka,6.0
antlr,1.0
jchempaint,36.0
c_jdbc,49.0
sablecc,0.0
ireport,88.0
james,21.0
compiere,175.0
megamek,16.0
checkstyle,10.0
quartz,6.0
freemind,45.0
hsqldb,1.0
jasperreports,71.0
cobertura,12.0
jedit,2.0
aspectj,0.0
findbugs,16.0
cayenne,7.0
jung,7.0
jfreechart,6.0
galleon,65.0
tapestry,38.0
jmeter,48.0
jboss,181.0
emma,1.0
roller,61.0
gt2,111.0
picocontainer,0.0
heritrix,26.0
jFin_DateMath,0.0
velocity,16.0
pmd,10.0
javacc,1.0
collections,0.0
derby,35.0
jstock,45.0
xerces,3.0
rssowl,44.0
junit,0.0
jruby,54.0
netbeans,270.0
hadoop,49.0
jpf,2.0
squirrel_sql,44.0
freecs,8.0
jena,11.0
drjava,17.0
azureus,1.0
castor,17.0
jre,0.0
jgrapht,6.0
ganttproject,26.0
