Project name,Total Number of Vulnerabilities
aoi,0.0
jgroups,0.0
jhotdraw,0.0
maven,1.0
quilt,0.0
freecol,4.0
mvnforum,58.0
jtopen,0.0
marauroa,3.0
springframework,0.0
struts,11.0
wct,34.0
htmlunit,7.0
tomcat,1.0
fitlibraryforfitnesse,1.0
argouml,5.0
jspwiki,6.0
ant,0.0
proguard,0.0
eclipse_SDK,24.0
hibernate,6.0
webmail,0.0
informa,4.0
nekohtml,0.0
weka,0.0
antlr,0.0
jchempaint,0.0
c_jdbc,5.0
sablecc,0.0
ireport,11.0
james,4.0
compiere,97.0
megamek,4.0
checkstyle,0.0
quartz,0.0
freemind,5.0
hsqldb,0.0
jasperreports,9.0
cobertura,0.0
jedit,0.0
aspectj,0.0
findbugs,99.0
cayenne,0.0
jung,0.0
jfreechart,0.0
galleon,2.0
tapestry,13.0
jmeter,2.0
jboss,48.0
emma,0.0
roller,54.0
gt2,112.0
picocontainer,0.0
heritrix,29.0
jFin_DateMath,0.0
velocity,0.0
pmd,0.0
javacc,0.0
collections,0.0
derby,1.0
jstock,3.0
xerces,0.0
rssowl,3.0
junit,0.0
jruby,3.0
netbeans,138.0
hadoop,17.0
jpf,0.0
squirrel_sql,5.0
freecs,0.0
jena,0.0
drjava,0.0
azureus,0.0
castor,3.0
jre,0.0
jgrapht,4.0
ganttproject,3.0
