Project name,Is Vulnerable
aoi,false
jgroups,false
jhotdraw,false
maven,true
quilt,false
freecol,false
mvnforum,false
jtopen,false
marauroa,false
springframework,true
struts,true
wct,false
htmlunit,false
tomcat,true
fitlibraryforfitnesse,false
argouml,true
jspwiki,false
ant,false
proguard,false
eclipse_SDK,true
hibernate,false
webmail,false
informa,false
nekohtml,false
weka,false
antlr,false
jchempaint,false
c_jdbc,false
sablecc,false
ireport,true
james,false
compiere,false
megamek,false
checkstyle,false
quartz,true
freemind,false
hsqldb,false
jasperreports,false
cobertura,false
jedit,false
aspectj,false
findbugs,false
cayenne,false
jung,false
jfreechart,false
galleon,false
tapestry,false
jmeter,false
jboss,true
emma,false
roller,false
gt2,true
picocontainer,false
heritrix,true
jFin_DateMath,false
velocity,false
pmd,false
javacc,false
collections,false
derby,false
jstock,false
xerces,false
rssowl,true
junit,false
jruby,true
netbeans,true
hadoop,true
jpf,false
squirrel_sql,false
freecs,false
jena,false
drjava,false
azureus,false
castor,false
jre,false
jgrapht,false
ganttproject,false
